DancePartnerID	Synonym	Type
2416	ornithine	lipid
7519	acetylcoa	lipid
21461	tca	lipid
24534	rapamycin	lipid
27845	atp	metabolite
28082	spermine	metabolite
28266	glutamate	metabolite
28288	lmethionine	metabolite
28463	tryptophan	metabolite
28503	citrate	metabolite
28546	lvaline	metabolite
28571	oxaloacetate	metabolite
28678	spermidine	metabolite
29042	putrescine	metabolite
29074	isoleucine	metabolite
29148	lphenylalanine	metabolite
29245	agmatine	metabolite
29329	cytidine	metabolite
29465	cystathionine	metabolite
29719	cadaverine	metabolite
37490	13c	metabolite
80132	actin	gene product
80416	sigma	gene product
84917	module	gene product
95492	pras40	gene product
